Order ID,Order Time,Restaurant,Restaurant Rating,Cuisine,Customer ID,Customer Location,Delivery Address,Number of Items,Order Amount,Discount Applied,Taxes,Final Amount,Tip Given,Delivery Partner ID,Delivery Partner Name,Estimated Time (mins),Actual Delivery Time (mins),Distance (km),Payment Method,Payment Status,Order Status,Cancellation Reason,Customer Rating,Review Comments
63a45e50,57:33.0,Burger King,4.6,Indian,CUST9088,Pune,"41, Pune Street, Pune",9,1384.2,146.36,69.21,1307.05,0,DP0007,Kavita,39,49,3.65,Debit Card,Failed,Pending,,,
9c79d0b0,30:33.0,Haldiram's,4.6,Indian,CUST6931,Mumbai,"29, Mumbai Street, Mumbai",10,840.97,123.09,42.05,759.93,0,DP0008,Anil,50,58,1.62,Cash on Delivery,Pending,Pending,,,
722b39fb,56:33.0,Pizza Hut,3.7,Fast Food,CUST7531,Pune,"92, Pune Street, Pune",10,212.7,111.87,10.63,111.46,60.41,DP0021,Kavita,37,47,1.54,Cash on Delivery,Pending,Cancelled,Restaurant Unavailable,,
e1ec229d,59:33.0,Haldiram's,4.1,Indian,CUST8448,Bangalore,"66, Bangalore Street, Bangalore",8,638.38,172.34,31.92,497.96,0,DP0037,Kavita,41,43,4.43,Wallet,Failed,Pending,,,
5f8054cd,59:33.0,McDonald's,3.6,Mexican,CUST6091,Ahmedabad,"12, Ahmedabad Street, Ahmedabad",5,1137.78,11.06,56.89,1183.61,0,DP0041,Kavita,24,29,1.71,Cash on Delivery,Failed,Delivered,,4.5,Not satisfied
7f511ddc,48:33.0,McDonald's,3.5,Indian,CUST2922,Bangalore,"36, Bangalore Street, Bangalore",7,1256.88,64.5,62.84,1255.22,41.11,DP0027,Kavita,30,30,6.35,Wallet,Success,Pending,,,
4acd32cf,06:33.0,Biryani Blues,3,Chinese,CUST3344,Mumbai,"71, Mumbai Street, Mumbai",2,1482.76,88.4,74.14,1468.5,97.27,DP0020,Neha,51,53,5.84,Wallet,Failed,Pending,,,
1d04a8fa,15:33.0,Haldiram's,3.5,Italian,CUST5846,Hyderabad,"59, Hyderabad Street, Hyderabad",10,1056.74,39.13,52.84,1070.45,33.46,DP0043,Neha,60,61,9.51,Debit Card,Pending,Pending,,,
597dfb38,36:33.0,Domino's,4,Fast Food,CUST6859,Bangalore,"38, Bangalore Street, Bangalore",4,119.14,190.01,5.96,-64.91,84.15,DP0011,Neha,58,55,2.51,Cash on Delivery,Success,Cancelled,Restaurant Unavailable,,
a4644160,25:33.0,McDonald's,2.7,Indian,CUST8128,Bangalore,"8, Bangalore Street, Bangalore",4,1450.25,39.98,72.51,1482.78,0,DP0001,Kavita,54,59,1.24,Cash on Delivery,Pending,Pending,,,
6ec94240,36:33.0,KFC,3.9,Chinese,CUST8894,Delhi,"96, Delhi Street, Delhi",5,574.21,193.23,28.71,409.69,0,DP0022,Priya,31,33,5.35,UPI,Success,Cancelled,Customer Canceled,,
763dfba5,24:33.0,Pizza Hut,4.5,Italian,CUST1894,Delhi,"80, Delhi Street, Delhi",1,413.82,162.68,20.69,271.83,0,DP0005,Rahul,39,35,5.83,Debit Card,Pending,Pending,,,
7dd088dc,18:33.0,Pizza Hut,2.5,Italian,CUST7461,Hyderabad,"67, Hyderabad Street, Hyderabad",4,1288.76,103.09,64.44,1250.11,85.11,DP0048,Kavita,38,38,7.79,Credit Card,Pending,Cancelled,Restaurant Unavailable,,
b592c7e2,57:33.0,Domino's,2.2,Dessert,CUST5758,Kolkata,"42, Kolkata Street, Kolkata",8,790.31,58.2,39.52,771.63,73.34,DP0035,Rahul,29,35,7.51,Cash on Delivery,Pending,Cancelled,Restaurant Unavailable,,
445fc09f,25:33.0,Pizza Hut,3.7,Thai,CUST4471,Kolkata,"93, Kolkata Street, Kolkata",6,773.83,187.76,38.69,624.76,74.05,DP0007,Suresh,39,47,8.47,Cash on Delivery,Failed,Delivered,,2,Good food!
e70777e8,50:33.0,KFC,4.5,Thai,CUST2896,Hyderabad,"16, Hyderabad Street, Hyderabad",8,488.12,15.19,24.41,497.34,0,DP0014,Kavita,56,62,7.96,UPI,Success,Pending,,,
0b814af6,02:33.0,Burger King,2.4,Italian,CUST6598,Ahmedabad,"23, Ahmedabad Street, Ahmedabad",6,1110.42,73.92,55.52,1092.02,0,DP0008,Amit,27,26,8.85,UPI,Success,Pending,,,
9d83f570,54:33.0,Pizza Hut,4,Chinese,CUST1764,Ahmedabad,"60, Ahmedabad Street, Ahmedabad",8,817.05,131.81,40.85,726.09,0,DP0031,Anil,53,54,1.09,Wallet,Pending,Cancelled,Restaurant Unavailable,,
885fbf13,37:33.0,Burger King,3.1,Chinese,CUST2422,Hyderabad,"75, Hyderabad Street, Hyderabad",5,113.9,76.82,5.7,42.78,0,DP0030,Kavita,37,34,1.11,UPI,Pending,Cancelled,Customer Canceled,,
53ec1e1f,51:33.0,Domino's,4.7,Italian,CUST2807,Bangalore,"16, Bangalore Street, Bangalore",5,1424.43,48.97,71.22,1446.68,48.4,DP0038,Anil,53,63,4.61,Credit Card,Success,Cancelled,,,
fe4ca225,40:33.0,Subway,3.4,Chinese,CUST2978,Kolkata,"51, Kolkata Street, Kolkata",4,866.93,185.37,43.35,724.91,59.17,DP0029,Suresh,48,54,1.59,Credit Card,Pending,Cancelled,Customer Canceled,,
33a3ceda,57:33.0,Subway,4.3,Thai,CUST4956,Pune,"77, Pune Street, Pune",4,1320.7,195.85,66.04,1190.89,0,DP0009,Priya,56,61,5.5,UPI,Failed,Pending,,,
131d58f2,34:33.0,Subway,3,Dessert,CUST8007,Mumbai,"16, Mumbai Street, Mumbai",6,769.44,94.05,38.47,713.86,0,DP0039,Kavita,49,47,3.66,Cash on Delivery,Success,Delivered,,3.6,Not satisfied
